mean_depth_0,mean_depth_1,mean_depth_2,mean_depth_3,mean_vel_0,mean_vel_1,mean_vel_2,mean_vel_3,std_depth_0,std_depth_1,std_depth_2,std_depth_3,std_vel_0,std_vel_1,std_vel_2,std_vel_3
188.89,556.85,1541.2,2155.2,1968.2,2226.1,2808.8,3676.5,11.444,27.006,69.543,95.659,98.052,119.67,141.98,203.02
187.83,562.21,1536.8,2156.5,1970.5,2218.4,2811.4,3676.5,11.619,27.356,69.075,94.66,101.89,124.23,146.88,212.35
186.89,567.22,1533.1,2160.7,1972.4,2211.2,2812.5,3675.9,11.652,27.347,68.025,92.648,104.15,126.68,149.63,218.23
186.15,571.52,1530.3,2167.5,1973.6,2204.9,2812.2,3674.7,11.585,27.085,66.725,90.12,105.13,127.41,150.82,221.14
185.66,574.82,1528.7,2176.3,1974.2,2200.2,2810.3,3673,11.475,26.723,65.571,87.718,105.29,127.01,151.17,221.89
185.45,576.88,1528.4,2186.7,1974,2197.1,2807.1,3670.8,11.381,26.418,64.908,86.077,105.09,126.14,151.39,221.41
185.54,577.56,1529.3,2197.7,1973.2,2196.1,2802.7,3668.5,11.344,26.283,64.917,85.612,104.87,125.31,151.88,220.44
185.86,577.28,1531,2208.3,1971.6,2196.5,2797.8,3666.1,11.356,26.29,65.411,86.058,104.72,124.7,152.63,219.33
186.33,576.38,1533.1,2217.4,1969.3,2197.7,2792.9,3663.8,11.373,26.318,65.924,86.622,104.56,124.26,153.5,218.09
186.93,574.92,1535.4,2224.4,1966.6,2199.9,2788.3,3661.9,11.367,26.292,66.149,86.786,104.3,123.94,154.37,216.72
187.61,573.01,1537.8,2228.7,1963.6,2202.6,2784.4,3660.3,11.33,26.192,66.02,86.435,103.9,123.7,155.13,215.28
188.32,570.78,1540,2230,1960.5,2205.9,2781.4,3659.4,11.282,26.065,65.722,85.885,103.38,123.54,155.7,213.88
189.02,568.38,1542,2228.4,1957.5,2209.5,2779.6,3659,11.259,26.011,65.638,85.792,102.83,123.46,156.03,212.68
189.78,565.67,1544.1,2224.4,1954.8,2213.3,2778.1,3658.9,11.262,26.057,65.994,86.509,102.27,123.53,156.05,211.89
190.6,562.73,1546.5,2218.8,1952.4,2217.3,2776.8,3659,11.252,26.076,66.43,87.335,101.62,123.72,155.74,211.58
191.42,559.74,1548.9,2211.9,1950.4,2221.1,2775.6,3659.1,11.207,25.98,66.622,87.641,100.85,123.96,155.09,211.77
192.19,556.92,1551.3,2204.1,1949.1,2224.6,2774.8,3659.4,11.129,25.764,66.469,87.224,99.998,124.25,154.14,212.47
192.85,554.48,1553.4,2196.1,1948.6,2227.4,2774.3,3659.8,11.049,25.517,66.122,86.353,99.146,124.58,153,213.63
193.36,552.55,1555.2,2188.4,1948.7,2229.4,2774.1,3660.3,11.013,25.395,65.928,85.698,98.42,124.98,151.78,215.19
193.82,550.82,1557.2,2181.4,1949.2,2231.4,2774.1,3661.1,11.041,25.489,65.978,85.611,97.855,125.52,150.45,216.69
194.24,549.27,1559.5,2175.6,1949.7,2233.4,2774.1,3662.4,11.09,25.695,65.97,85.596,97.423,126.22,149.1,217.78
194.59,548.02,1561.9,2171.4,1950.4,2235.5,2774.1,3664,11.119,25.907,65.698,85.298,97.1,127.04,147.85,218.29
194.85,547.15,1564.2,2169.1,1951,2237.4,2774.1,3665.9,11.111,26.071,65.142,84.717,96.865,127.93,146.76,218.21
195,546.71,1566.4,2168.8,1951.6,2238.9,2774.1,3667.9,11.077,26.199,64.48,84.222,96.717,128.84,145.87,217.68
195.04,546.69,1568.4,2170.2,1952.2,2240.2,2774.2,3669.9,11.051,26.351,64.043,84.41,96.7,129.69,145.23,216.94
195.06,546.54,1571,2169.5,1952.8,2241.6,2774.4,3672.5,11.056,26.456,63.914,85.181,96.949,130.26,145,216.25
195.06,546.15,1574.3,2166.1,1953.6,2243.4,2774.9,3675.6,11.06,26.388,63.797,85.752,97.293,130.34,145.15,215.73
195.05,545.55,1578.2,2160.1,1954.3,2245.3,2775.6,3679,11.039,26.102,63.525,85.637,97.537,129.89,145.51,215.47
195.04,544.78,1582.2,2152,1955.1,2247.3,2776.4,3682.5,10.986,25.654,63.148,84.814,97.575,128.98,145.9,215.49
195.02,543.9,1586.2,2142.3,1955.8,2249.2,2777.3,3685.9,10.92,25.185,62.931,83.732,97.421,127.81,146.16,215.8
194.98,542.89,1590,2131.9,1956.5,2250.9,2778.2,3688.8,10.874,24.883,63.247,83.192,97.181,126.64,146.26,216.32
194.9,541.44,1594.3,2122,1957.7,2253.3,2778.2,3690.9,10.846,24.772,64.041,83.433,96.863,125.63,146.3,216.88
194.77,539.58,1598.8,2113.6,1959.4,2256.1,2777.3,3692.2,10.806,24.716,64.858,83.904,96.502,124.88,146.23,217.34
194.61,537.44,1603.4,2107.1,1961.5,2259.2,2775.6,3692.3,10.744,24.606,65.396,84.243,96.192,124.42,146.03,217.64
194.41,535.18,1607.6,2103,1963.9,2262.5,2773.3,3691.5,10.68,24.405,65.597,84.436,96.046,124.23,145.73,217.75
194.21,532.95,1611.1,2101.7,1966.4,2265.6,2770.4,3689.7,10.654,24.163,65.655,84.812,96.167,124.21,145.43,217.68
193.97,530.72,1614.3,2104.7,1969,2268.5,2766.4,3686.7,10.708,24.01,65.939,85.825,96.63,124.29,145.28,217.42
193.57,527.9,1618.8,2117.4,1972.1,2271.6,2758.9,3681.5,10.823,24.001,66.535,87.094,97.428,124.54,145.4,216.63
193.04,524.64,1624.4,2139.4,1975.8,2274.8,2748.3,3674.4,10.948,24.066,67.14,87.97,98.401,124.98,145.63,215.31
192.4,521.16,1630.7,2169.2,1979.6,2277.9,2735.3,3665.9,11.049,24.162,67.574,88.192,99.401,125.62,145.79,213.6
191.7,517.7,1637.3,2204.6,1983.4,2280.5,2720.7,3656.5,11.115,24.292,67.845,87.939,100.33,126.45,145.77,211.74
191,514.51,1643.7,2243.2,1986.8,2282.6,2705.6,3647,11.159,24.504,68.135,87.767,101.14,127.41,145.54,210
190.3,511.74,1650.2,2284.1,1989.8,2283.9,2690.2,3637.6,11.212,24.847,68.704,88.361,101.9,128.46,145.19,208.72
189.57,509.38,1658.2,2328.9,1992.6,2284.2,2673.1,3627.9,11.264,25.211,69.456,89.524,102.64,129.55,144.84,208.22
188.85,507.58,1667.2,2374.8,1995,2283.3,2655.3,3618.5,11.281,25.445,70.099,90.588,103.28,130.48,144.53,208.59
188.19,506.47,1676.7,2418.5,1996.8,2281.4,2638.2,3610.1,11.251,25.489,70.514,91.196,103.8,131.11,144.32,209.7
187.65,506.12,1685.9,2456.9,1997.9,2278.6,2622.9,3603.3,11.191,25.384,70.783,91.391,104.21,131.35,144.24,211.32
187.25,506.58,1694.1,2487.3,1998.2,2275.1,2610.5,3598.6,11.14,25.257,71.146,91.582,104.56,131.25,144.33,213.15
187.03,507.35,1701.5,2510.4,1997.9,2271.3,2601,3595.6,11.137,25.253,71.813,92.289,104.84,130.91,144.49,214.94
186.99,507.64,1708.7,2529.4,1997.3,2267.9,2593.3,3593.3,11.16,25.307,72.505,93.215,104.96,130.49,144.43,216.49
187.14,507.4,1715.2,2543,1996.5,2265,2587.9,3591.9,11.176,25.29,72.916,93.811,104.87,130.15,144.05,217.49
187.47,506.64,1720.6,2550.4,1995.4,2263,2585.3,3591.3,11.171,25.13,72.939,93.825,104.6,130.05,143.36,217.74
187.95,505.42,1724.4,2551,1994.3,2261.8,2585.5,3591.8,11.155,24.84,72.688,93.372,104.26,130.27,142.46,217.2
188.55,503.83,1726.4,2544.8,1993.1,2261.7,2588.6,3593.2,11.158,24.515,72.463,92.892,103.96,130.79,141.57,216.01
189.28,500.83,1727.5,2532,1992.5,2263.4,2593.9,3595.4,11.206,24.258,72.485,92.834,103.72,131.47,140.75,214.62
190.14,495.22,1728.7,2513.4,1993.2,2267.7,2600.5,3598.4,11.264,24.019,72.511,92.889,103.39,132.13,139.95,213.4
191.08,487.39,1730.1,2490.3,1995.2,2274.3,2607.9,3602,11.288,23.747,72.346,92.687,102.85,132.69,139.18,212.45
192.02,477.91,1731.5,2464.4,1998.4,2282.7,2615.5,3605.8,11.259,23.443,71.97,92.147,102.05,133.07,138.5,211.84
192.91,467.42,1732.7,2437.4,2002.4,2292.4,2622.8,3609.6,11.187,23.168,71.548,91.516,101.03,133.27,137.97,211.62
193.67,456.68,1733.8,2411.3,2007.1,2302.6,2629.4,3613.2,11.109,23.03,71.385,91.294,99.956,133.27,137.65,211.84
194.46,445.47,1735,2382.4,2012.1,2313.8,2636.3,3617,11.057,23.063,71.677,91.775,98.909,132.97,137.51,212.31
195.38,433.76,1736.2,2348.3,2017,2325.9,2644.5,3621.5,11.007,23.114,72.17,92.391,97.895,132.28,137.38,212.79
196.35,422.4,1737.5,2311.3,2021.6,2338.2,2653.3,3626.3,10.939,23.059,72.599,92.59,96.973,131.39,137.18,213.17
197.32,412.18,1738.8,2274.1,2025.3,2349.7,2662.2,3631.1,10.852,22.863,72.848,92.151,96.226,130.54,136.9,213.42
198.21,403.82,1740,2239.3,2028.1,2359.7,2670.4,3635.5,10.769,22.584,72.975,91.251,95.755,129.99,136.6,213.55
198.97,397.89,1740.9,2209.3,2029.7,2367.5,2677.5,3639.3,10.728,22.368,73.189,90.418,95.652,129.95,136.43,213.66
199.93,393.64,1740.6,2182.1,2029.2,2373.9,2684.8,3642.9,10.753,22.345,73.655,90.086,95.825,130.41,136.61,213.74
201.22,390.7,1738.5,2157.3,2026.1,2379.2,2692.8,3646.8,10.812,22.419,74.139,89.941,96.081,131.27,137.18,213.78
202.76,389.29,1734.8,2136.7,2020.6,2383.2,2700.8,3650.4,10.88,22.472,74.443,89.693,96.286,132.39,138.11,213.8
204.44,389.5,1729.7,2121.8,2013.3,2385.5,2708.4,3653.7,10.947,22.449,74.554,89.326,96.366,133.53,139.35,213.82
206.14,391.32,1723.6,2113.5,2004.5,2385.9,2714.9,3656.4,11.023,22.373,74.639,89.114,96.328,134.48,140.86,213.79
207.76,394.6,1716.8,2112.4,1994.8,2384.5,2720.1,3658.3,11.133,22.341,74.98,89.517,96.263,135.06,142.55,213.71
209.38,398.93,1708.2,2115.8,1984.4,2381.9,2725.4,3660.2,11.274,22.407,75.57,90.508,96.371,135.37,144.28,213.77
210.99,403.93,1697.5,2122.5,1973.5,2378.6,2731.1,3662.4,11.399,22.456,75.982,91.331,96.592,135.41,145.76,213.94
212.46,409.23,1685.6,2131.9,1963.1,2374.7,2736.9,3664.8,11.473,22.412,75.884,91.447,96.796,135.14,146.76,214.08
213.7,414.47,1673.4,2143.4,1953.8,2370.6,2742.3,3667.1,11.493,22.285,75.152,90.742,96.903,134.54,147.15,214.12
214.62,419.27,1661.6,2156.3,1946.3,2366.5,2746.9,3669.3,11.487,22.173,73.915,89.547,96.905,133.68,146.94,214.05
215.17,423.36,1651,2169.6,1941,2362.8,2750.6,3671.1,11.5,22.22,72.54,88.566,96.855,132.67,146.25,213.94
215.47,427.12,1640,2183.1,1937.3,2359.5,2754.6,3672.6,11.539,22.42,71.341,88.162,96.685,131.77,145.14,213.9
215.55,430.48,1628.9,2196.3,1935.2,2356.8,2759.1,3673.9,11.575,22.616,70.211,87.894,96.346,131.15,143.72,213.99
215.4,433.18,1618.4,2208,1934.8,2355.1,2763.7,3674.8,11.592,22.713,69.061,87.461,95.911,130.86,142.17,214.29
215.04,435.05,1609.3,2217.4,1936.1,2354.3,2768.1,3675.3,11.597,22.709,67.942,86.911,95.539,130.93,140.8,214.9
214.49,435.95,1602.2,2224,1939.1,2354.5,2772.1,3675.2,11.615,22.689,67.056,86.634,95.429,131.29,139.9,215.87
213.78,435.84,1597.2,2227.6,1943.6,2355.8,2775.4,3674.7,11.68,22.791,66.69,87.197,95.746,131.83,139.69,217.15
212.95,434.88,1591.1,2230.3,1949.3,2357.8,2779.2,3673.7,11.786,22.987,66.728,88.395,96.476,132.52,140.07,218.33
212.06,433.15,1583.9,2232.4,1955.8,2360.5,2783.4,3672.1,11.893,23.125,66.81,89.476,97.494,133.23,140.87,219.29
211.15,430.79,1576,2233.7,1962.7,2363.6,2787.7,3670,11.968,23.113,66.732,89.988,98.648,133.85,141.97,219.96
210.31,427.96,1567.9,2234.1,1969.5,2366.8,2791.8,3667.8,11.998,22.951,66.507,89.901,99.793,134.32,143.28,220.3
209.59,424.86,1560.3,2233.6,1975.7,2370.1,2795.4,3665.4,11.996,22.732,66.37,89.597,100.81,134.68,144.75,220.27
208.98,421.59,1553.2,2232.2,1981.2,2373.2,2798.5,3663,11.991,22.612,66.681,89.735,101.68,135,146.4,219.93
208.32,417.9,1544.8,2229.8,1987.1,2376.2,2802.4,3660.9,12.007,22.626,67.382,90.407,102.5,135.44,148.09,219.54
207.62,413.98,1535.6,2226.6,1993.2,2379,2806.7,3659,12.017,22.638,68.033,91.045,103.2,136,149.53,219.23
206.93,410.12,1526.1,2222.7,1999,2381.5,2811.3,3657.5,12.004,22.569,68.347,91.283,103.71,136.59,150.48,219.01
206.3,406.57,1517.1,2218.5,2004.1,2383.3,2815.9,3656.6,11.97,22.436,68.276,91.093,104.06,137.08,150.87,218.82
205.78,403.61,1509.2,2214.2,2008.3,2384.5,2820,3656.3,11.932,22.344,68.022,90.788,104.27,137.33,150.72,218.54
205.37,401.02,1502,2209.2,2011.6,2385.2,2824,3656.7,11.921,22.437,67.895,90.827,104.49,137.25,150.16,218.16
205,397.8,1493.8,2200.9,2015.6,2386.8,2829.3,3658,11.939,22.64,67.724,90.92,104.79,136.88,149.19,217.91
204.71,394.07,1484.8,2189.8,2020.1,2389.1,2835.6,3660.2,11.953,22.774,67.213,90.531,105.06,136.34,147.99,217.79
204.5,390.1,1475.7,2176.5,2024.7,2392.1,2842.5,3663,11.943,22.735,66.302,89.502,105.23,135.8,146.79,217.78
204.4,386.18,1467.1,2162.1,2029.2,2395.4,2849.5,3666.4,11.909,22.527,65.2,88.124,105.26,135.46,145.81,217.86
204.4,382.57,1459.8,2147.5,2033.1,2399,2856.2,3670,11.876,22.265,64.348,87.078,105.22,135.47,145.24,218.02
204.48,379.2,1452.1,2130.9,2036.9,2402.8,2863.2,3674,11.864,22.122,64.177,87.062,105.16,135.85,145.19,218.36
204.56,375.56,1440.7,2107.5,2041.4,2407.6,2872.9,3679.1,11.836,22.086,64.405,87.597,105.01,136.42,145.6,219.01
204.62,371.88,1426.2,2078.5,2046.2,2413,2884.7,3685,11.764,22.049,64.565,87.855,104.65,137.06,146.3,219.89
204.66,368.43,1409.7,2046.1,2051.1,2418.6,2897.7,3691.1,11.647,21.973,64.376,87.369,104.06,137.6,147.05,220.9
204.68,365.45,1392.2,2012.6,2055.7,2424.1,2911,3697.2,11.51,21.911,63.828,86.172,103.28,137.87,147.73,221.91
204.68,363.15,1375,1980.3,2059.7,2429,2923.7,3702.8,11.405,21.988,63.197,84.804,102.44,137.75,148.25,222.83
204.62,362.39,1360.2,1951.4,2062.4,2432.4,2934.3,3707.4,11.387,22.368,62.941,84.239,101.7,137.19,148.73,223.46
204.47,364.25,1350.1,1927.9,2062.8,2433.3,2941.4,3710.9,11.468,23.056,63.251,84.969,101.01,136.16,149.09,223.37
204.23,368.62,1345.4,1911.5,2061,2431.5,2944.3,3712.9,11.604,23.869,64.01,86.705,100.13,134.42,148.82,222.04
203.93,375.18,1346.4,1903.2,2057,2427.2,2942.8,3713.3,11.719,24.593,64.971,88.862,98.66,131.65,147.27,218.76
203.58,383.47,1353.1,1903.8,2051.2,2420.6,2937.2,3712.1,11.737,25.041,65.837,90.778,96.201,127.47,143.84,212.85
203.2,392.91,1365,1913,2044,2412.3,2927.7,3709.3,11.595,25.091,66.349,91.899,92.475,121.62,138.14,203.84
